period	cc	year	CG_7_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp_pc	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp_pc	per01	per02	per03	per04	per05	per06	per07	per08	cc1	cc2	cc3	cc4	cc5	cc6	cc7	cc8	cc9	cc10	cc11	cc12	cc13	cc14	cc15	cc16	cc17	cc18	cc19	cc20
8	51	2008	21.28631	93.049133	0	13.519167	16.636599	34.01128	12.886475	88.414398	1.25	73.646446	50.484085	5.9930639	11.610178	6.159615	10	10	1	1	1	9.2695761	95.100159	0	13.519167	16.588099	39.390438	11.711746	86.952202	1.3333334	67.291031	51.64732	12.3316	10.891338	5.7903061	9	9	1	1	1.4	8.585515	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	56	1978	6.1564894	68.799767	0	13.910821	17.065466	77.122368	7.0776634	60.688202	2.402564	24.07279	60.448524	14.45686	7.1209006	24.65254	8	9	1	0	2	7.145164	83.462067	0	13.910821	16.941736	85.641739	6.9984279	57.051399	2.7310371	22.910376	54.996014	19.686226	6.8058457	18.44388	7.4000001	9	1	0	2	6.4501734	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	56	1983	8.5062027	71.080582	0	13.910821	17.168276	68.739525	7.0343781	64.192802	2.1446817	20.604313	56.087128	21.19388	7.5822334	23.00404	8	9	1	0	2	7.5182137	68.799767	0	13.910821	17.065466	77.122368	7.0776634	60.688202	2.402564	24.07279	60.448524	14.45686	7.1209006	24.65254	8	9	1	0	2	7.145164	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	56	1988	8.2339392	94.385124	0	13.910821	17.280855	63.260796	7.1657953	67.195198	1.9368279	25.17123	46.813065	35.350281	8.2876501	26.21356	8	9	1	0	2.4000001	7.4290061	71.080582	0	13.910821	17.168276	68.739525	7.0343781	64.192802	2.1446817	20.604313	56.087128	21.19388	7.5822334	23.00404	8	9	1	0	2	7.5182137	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	56	1993	9.7589941	100	0	13.910821	17.370531	59.1595	7.3447552	69.620003	2.32128	28.367094	50.346912	29.309919	8.7740879	28.11508	8.6000004	8.6000004	1	0	2.5999999	7.6962466	94.385124	0	13.910821	17.280855	63.260796	7.1657953	67.195198	1.9368279	25.17123	46.813065	35.350281	8.2876501	26.21356	8	9	1	0	2.4000001	7.4290061	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	56	1998	16.354797	85.886314	0	13.910821	17.463217	54.476925	7.4957538	71.451401	1.5796769	29.788164	53.329502	30.80625	9.5612211	18.573099	7	7	1	0	3.8	7.9792914	100	0	13.910821	17.370531	59.1595	7.3447552	69.620003	2.32128	28.367094	50.346912	29.309919	8.7740879	28.11508	8.6000004	8.6000004	1	0	2.5999999	7.6962466	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	56	2003	30.675293	83.090019	0	13.910821	17.543308	49.757042	7.7606831	72.9786	1.4639953	34.979523	51.935448	42.381882	10.000927	6.4312439	7	7	1	0	3.8	7.87117	85.886314	0	13.910821	17.463217	54.476925	7.4957538	71.451401	1.5796769	29.788164	53.329502	30.80625	9.5612211	18.573099	7	7	1	0	3.8	7.9792914	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	56	2008	32.230129	83.444626	0	13.910821	17.621975	45.379406	8.253397	74.444397	1.3641062	36.150848	52.51664	34.422798	11.064655	5.1269441	7	7	1	0	3	8.5082855	83.090019	0	13.910821	17.543308	49.757042	7.7606831	72.9786	1.4639953	34.979523	51.935448	42.381882	10.000927	6.4312439	7	7	1	0	3.8	7.87117	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	59	1978	15.545707	100	0	10.840756	14.612445	69.212326	8.5810146	42.398998	1.8614719	59.046642	56.160702	42.24308	5.0177665	13.88573	10	10	1	0	1	7.5970345	100	0	10.840756	14.48814	81.570648	9.0936041	40.340199	3.1637428	63.759628	57.593391	23.957701	4.3501439	14.290188	10	10	1	0	1	6.8567023	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	59	1983	15.889074	100	0	10.840756	14.746873	61.753735	8.5244112	44.5774	3.2721293	69.800781	50.799915	101.78234	4.9817696	44.653419	10	10	1	0	1	7.3589668	100	0	10.840756	14.612445	69.212326	8.5810146	42.398998	1.8614719	59.046642	56.160702	42.24308	5.0177665	13.88573	10	10	1	0	1	7.5970345	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
