period	cc	year	CG_7_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp	per01	per02	per03	per04	per05	per06	per07	per08	cc1	cc2	cc3	cc4	cc5	cc6	cc7	cc8	cc9	cc10	cc11	cc12	cc13	cc14	cc15	cc16	cc17	cc18	cc19	cc20	cc21	cc22	cc23	cc24	cc25	cc26	cc27
6	79	1998	19.097038	100	3.4000001	13.815511	17.945021	90.123344	5.7144761	14.3742	2.9777505	32.917534	39.869873	99.970459	6.3561478	2.3965297	1	6	0	1	4.4000001	8050241024	100	1.2	13.853635	17.796038	88.446747	5.5722437	13.3446	3.4999385	19.837376	40.097729	126.52422	5.0425296	12.726044	.75	6	1	1	5.5999999	9133433856	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	79	2003	21.905397	82.890648	0	13.815511	18.074711	87.322968	5.8483191	15.3156	2.8618205	42.530937	31.16567	103.05966	7.6105843	3.435586	1	6	0	1	5	9335719936	100	3.4000001	13.815511	17.945021	90.123344	5.7144761	14.3742	2.9777505	32.917534	39.869873	99.970459	6.3561478	2.3965297	1	6	0	1	4.4000001	8050241024	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	94	1993	10.472551	100	0	12.335081	16.599442	80.566505	5.8409142	38.659801	2.5833333	30.696239	36.102367	59.719082	6.6460862	27.224581	-1.6	6	1	1	5	10234838016	100	0	12.335081	16.453545	84.397476	5.7228251	35.022999	2.9670329	26.206242	38.035137	40.28175	6.2943206	34.7542	-7	1	1	1	6.4000001	8725897216	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	94	2008	24.719671	100	0	12.335081	16.959139	68.071098	6.4639297	49.806599	2.7310371	67.264374	42.402039	32.89156	8.717061	30.064819	8	9	1	1	1	26138632192	100	0	12.335081	16.849821	71.380844	6.1593108	46.198002	2.0526316	63.624035	41.348106	75.312698	7.4477525	23.13096	6.8000002	8.3999996	1	1	1.8	12520398848	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	102	1998	18.425936	100	0	12.411948	15.904675	84.945717	6.3293667	30.403799	2.2128379	38.160858	43.086567	107.78696	5.3646512	3.366508	-1	6	1	1	6	3703873792	100	0	12.411948	15.738279	85.449318	6.3311009	28.895399	5.391624	39.480541	45.696259	94.495422	4.8312154	12.018399	-4.1999998	2.8	1	1	6	3429526528	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	120	1998	20.494514	100	.40000001	12.669806	16.574409	77.240349	5.4406266	42.608601	2.7619047	74.65564	43.991074	98.65284	7.4827771	2.9915423	-3	3	1	1	6	11895734272	100	0	12.669806	16.438723	82.64817	5.1541634	40.464001	3.2051282	59.862957	38.188023	124.9748	6.8716908	12.844748	-6.5999999	2	1	1	6	10816318464	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	120	2003	20.00223	100	2	12.669806	16.671587	76.066956	6.0300283	45.518002	1.25	81.264236	46.206551	86.30452	8.1502571	3.0956423	.80000001	6	1	1	5.8000002	14451538944	100	.40000001	12.669806	16.574409	77.240349	5.4406266	42.608601	2.7619047	74.65564	43.991074	98.65284	7.4827771	2.9915423	-3	3	1	1	6	11895734272	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	125	1978	14.20185	93.179474	0	13.251882	16.535578	106.02351	6.6427016	14.5154	4.3003664	50.914047	63.161606	21.707033	6.0206199	10.815272	-6.5999999	1.4	1	1	5	6868521984	100	0	13.251882	16.348442	104.59311	7.0658746	11.8664	3.4848485	48.594276	70.998444	13.40548	5.4040275	6.0148578	-7	1	1	1	5	3287959040	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	125	1983	17.12775	95.018745	0	13.251882	16.726336	106.24275	6.1866407	15.8806	4.5902133	42.224461	68.352135	34.745178	6.410388	10.556036	-6.8000002	1.2	1	1	5.4000001	8197099520	93.179474	0	13.251882	16.535578	106.02351	6.6427016	14.5154	4.3003664	50.914047	63.161606	21.707033	6.0206199	10.815272	-6.5999999	1.4	1	1	5	6868521984	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	125	1988	18.022753	95.151093	0	13.251882	16.895967	103.70297	5.7542844	16.4804	2.8614719	40.515968	61.957531	45.929001	6.6188164	8.1950998	-7	1	1	1	6	10454612992	95.018745	0	13.251882	16.726336	106.24275	6.1866407	15.8806	4.5902133	42.224461	68.352135	34.745178	6.410388	10.556036	-6.8000002	1.2	1	1	5.4000001	8197099520	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
