period	cc	year	CG_7_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp_pc	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp_pc	per01	per02	per03	per04	per05	per06	per07	per08	cc1	cc2	cc3	cc4	cc5	cc6	cc7	cc8	cc9	cc10	cc11
5	113	1993	14.025331	87.414795	3.2	14.403297	19.083052	56.864204	6.4803433	33.566002	1.1111112	48.349945	39.067059	38.237862	9.3846426	8.110364	-7	2	0	0	6.5999999	6.7999163	87.458878	7	14.403297	19.007849	63.8783	6.2679768	28.785999	2.4264705	42.163944	35.471931	43.375759	8.4951267	9.1606569	-7	2	0	0	5.1999998	6.3283682	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
6	113	1998	15.737772	91.105431	0	14.403297	19.152861	50.029701	6.9282956	39.422798	2.0526316	64.42363	34.519135	63.493999	10.120823	26.260979	-1.4	4.5999999	0	0	5.4000001	6.7254386	87.414795	3.2	14.403297	19.083052	56.864204	6.4803433	33.566002	1.1111112	48.349945	39.067059	38.237862	9.3846426	8.110364	-7	2	0	0	6.5999999	6.7999163	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
7	113	2003	18.611511	100	0	14.403297	19.218029	44.971985	7.5149097	44.362999	.95238096	61.247677	35.897133	62.130699	9.6074886	9.7123423	6.8000002	8.3999996	.2	0	2.8	6.9095426	91.105431	0	14.403297	19.152861	50.029701	6.9282956	39.422798	2.0526316	64.42363	34.519135	63.493999	10.120823	26.260979	-1.4	4.5999999	0	0	5.4000001	6.7254386	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
8	113	2008	18.044405	100	0	14.403297	19.270615	41.420807	8.055542	48.329201	1.7786561	52.624615	37.288296	33.219959	11.396855	12.00555	8	9	1	0	2	7.6597638	100	0	14.403297	19.218029	44.971985	7.5149097	44.362999	.95238096	61.247677	35.897133	62.130699	9.6074886	9.7123423	6.8000002	8.3999996	.2	0	2.8	6.9095426	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
2	122	1978	15.70731	100	0	12.811481	18.533394	35.542545	12.706928	75.991402	1.8181819	24.308762	35.791096	41.248901	7.9183178	5.5100741	10	10	0	1	1.8	8.923851	100	0	12.812027	18.515991	35.49992	11.026397	74.180397	2	22.22868	35.957485	18.68084	7.4313641	10.277742	10	10	0	1	2	8.1570807	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
3	122	1983	16.910448	100	0	12.809347	18.603003	33.232903	14.337527	76.4972	0	26.635551	33.502625	63.821362	8.3629637	1.6833806	10	10	0	1	1	9.2557926	100	0	12.811481	18.533394	35.542545	12.706928	75.991402	1.8181819	24.308762	35.791096	41.248901	7.9183178	5.5100741	10	10	0	1	1.8	8.923851	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
4	122	1988	15.426214	100	0	12.806611	18.603003	28.421913	16.173023	77.088203	0	18.351826	35.047356	71.020821	9.0915213	1.2987612	10	10	0	1	1	10.01014	100	0	12.809347	18.603003	33.232903	14.337527	76.4972	0	26.635551	33.502625	63.821362	8.3629637	1.6833806	10	10	0	1	1	9.2557926	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
5	122	1993	21.662729	100	0	12.806556	18.603003	24.154331	19.165594	77.745201	1.6666666	16.855499	37.796234	77.225861	9.8161917	.80420619	10	10	0	1	1.4	10.468313	100	0	12.806611	18.603003	28.421913	16.173023	77.088203	0	18.351826	35.047356	71.020821	9.0915213	1.2987612	10	10	0	1	1	10.01014	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
8	122	2008	16.848259	51.823223	0	12.806282	18.683044	20.812334	33.102547	88.715797	0	30.86532	37.131626	202.146	12.018189	-1.1964146	10	10	0	1	1	10.543341	51.572327	0	12.806282	18.683044	21.005255	28.007349	83.046402	0	23.038614	38.358185	169.9054	11.300238	-1.413304	10	10	0	1	1	10.442793	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
2	145	1978	21.976458	100	0	12.702444	16.410103	71.646484	6.3412428	40.287201	3.2051282	91.485611	62.519802	43.648361	8.2870674	8.7372017	4	6	0	1	3	7.2102575	100	0	12.702444	16.265614	81.789604	6.4688215	35.972801	1.8181819	77.234703	52.376766	41.15712	7.53266	5.4751477	4	6	0	1	2.5	6.4390483	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
3	145	1983	25.626457	96.137764	0	12.702444	16.522671	66.54705	6.2339339	44.353401	2.7619047	100.0918	59.322937	71.365936	8.7479057	2.56304	4	6	0	1	3	7.6568656	100	0	12.702444	16.410103	71.646484	6.3412428	40.287201	3.2051282	91.485611	62.519802	43.648361	8.2870674	8.7372017	4	6	0	1	3	7.2102575	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
4	145	1988	25.937347	84.142181	0	12.702444	16.659462	64.045654	6.1357126	48.233601	2.4264705	116.23418	47.021152	97.671898	8.9291201	1.756318	4	6	0	1	4	7.694006	96.137764	0	12.702444	16.522671	66.54705	6.2339339	44.353401	2.7619047	100.0918	59.322937	71.365936	8.7479057	2.56304	4	6	0	1	3	7.6568656	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
5	145	1993	24.198528	82.55732	0	12.702444	16.800484	60.537128	6.0947676	53.330399	3.1637428	155.47279	46.101658	55.674721	9.8705845	3.51141	3.8	6	0	1	4.4000001	8.1997633	84.142181	0	12.702444	16.659462	64.045654	6.1357126	48.233601	2.4264705	116.23418	47.021152	97.671898	8.9291201	1.756318	4	6	0	1	4	7.694006	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
6	145	1998	21.196899	88.055107	0	12.702444	16.91503	55.228634	6.0514002	59.461399	1.8614719	189.43867	45.564854	35.04142	10.318417	4.9123716	3	6	0	1	4.5999999	8.3547678	82.55732	0	12.702444	16.800484	60.537128	6.0947676	53.330399	3.1637428	155.47279	46.101658	55.674721	9.8705845	3.51141	3.8	6	0	1	4.4000001	8.1997633	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
7	145	2003	26.481754	94.579735	0	12.702444	17.04191	51.582932	6.4762492	65.3358	2.5028985	195.95184	40.298409	43.925739	10.592957	3.9436159	3	6	0	1	4.5999999	8.4470263	88.055107	0	12.702444	16.91503	55.228634	6.0514002	59.461399	1.8614719	189.43867	45.564854	35.04142	10.318417	4.9123716	3	6	0	1	4.5999999	8.3547678	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
6	158	1998	19.306	66.773804	0	14.285514	14.673956	62.218639	6.3527927	57.001801	.86956519	100.33578	35.484486	66.710739	4.4106526	10.68588	10	10	1	1	2	6.2363329	63.731499	0	14.285514	14.639529	70.090218	7.1629195	56.896198	.90909094	92.454865	34.413368	39.573502	2.2112749	142.09996	7.5999999	7.8000002	.40000001	1	2.2	6.5488863	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
7	158	2003	27.811428	83.173386	0	14.285514	14.723637	49.012894	5.9477992	60.349602	.83333331	121.66916	33.576054	78.358078	5.9250851	12.768938	10	10	1	1	2	6.5270362	66.773804	0	14.285514	14.673956	62.218639	6.3527927	57.001801	.86956519	100.33578	35.484486	66.710739	4.4106526	10.68588	10	10	1	1	2	6.2363329	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
8	158	2008	33.082687	93.513397	0	14.285514	14.80094	41.155518	5.9167123	65.537804	1.5692308	115.37478	33.747532	42.4646	7.6475511	15.38484	10	10	1	.60000002	2	7.4754753	83.173386	0	14.285514	14.723637	49.012894	5.9477992	60.349602	.83333331	121.66916	33.576054	78.358078	5.9250851	12.768938	10	10	1	1	2	6.5270362	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
2	171	1978	33.053169	94.428009	0	12.481088	14.946913	45.530117	14.938543	83.166397	0	56.390678	36.428322	49.30048	7.5342164	15.99238	10	10	0	1	1	8.6573563	100	0	12.481088	14.90712	50.764847	14.141648	82.106796	2.0706077	49.094925	34.17625	44.890442	7.4878664	9.9154396	10	10	0	1	1	8.2315769	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
3	171	1983	37.260525	98.240044	0	12.481088	14.984816	39.812305	15.714231	83.574997	.64516127	60.883705	38.320747	59.264	7.311089	11.501166	10	10	0	1	1	8.9298658	94.428009	0	12.481088	14.946913	45.530117	14.938543	83.166397	0	56.390678	36.428322	49.30048	7.5342164	15.99238	10	10	0	1	1	8.6573563	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
4	171	1988	40.665359	100	0	12.481088	15.021374	36.171631	16.437733	84.3144	.625	50.89732	40.494888	65.836983	8.2488451	8.8361578	10	10	0	1	1	9.3947811	98.240044	0	12.481088	14.984816	39.812305	15.714231	83.574997	.64516127	60.883705	38.320747	59.264	7.311089	11.501166	10	10	0	1	1	8.9298658	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
5	171	1993	35.465359	92.40065	0	12.481088	15.084858	35.181717	17.345137	85.096603	2.3391054	57.245506	42.905754	59.088581	10.060204	1.6232622	10	10	0	1	1	9.5207729	100	0	12.481088	15.021374	36.171631	16.437733	84.3144	.625	50.89732	40.494888	65.836983	8.2488451	8.8361578	10	10	0	1	1	9.3947811	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
6	171	1998	30.513298	89.3442	0	12.481088	15.150373	35.014038	17.853788	85.539398	1.0668564	59.231571	44.167114	37.682098	10.455838	1.4811592	10	10	0	1	1	9.689126	92.40065	0	12.481088	15.084858	35.181717	17.345137	85.096603	2.3391054	57.245506	42.905754	59.088581	10.060204	1.6232622	10	10	0	1	1	9.5207729	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
7	171	2003	31.312244	90.465904	0	12.481088	15.206618	33.386333	17.987024	85.902	1.0128205	60.029163	45.785118	25.722176	10.52515	2.3356068	10	10	0	1	1	9.8927546	89.3442	0	12.481088	15.150373	35.014038	17.853788	85.539398	1.0668564	59.231571	44.167114	37.682098	10.455838	1.4811592	10	10	0	1	1	9.689126	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
8	171	2008	34.63026	92.786407	0	12.481088	15.269311	31.331301	18.839739	86.137199	1.4291116	58.693756	44.2505	23.018539	11.047417	3.157294	10	10	0	1	1	10.298279	90.465904	0	12.481088	15.206618	33.386333	17.987024	85.902	1.0128205	60.029163	45.785118	25.722176	10.52515	2.3356068	10	10	0	1	1	9.8927546	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
6	185	1998	29.352535	100	.40000001	13.023338	15.443981	70.722977	4.3155065	13.5548	2.8202529	108.25986	48.242821	57.503021	7.1709127	9.7906876	4	4	0	1	2	6.6868186	100	1	13.023338	15.319094	73.210747	4.2341084	14.4462	2.2750793	94.195862	40.335339	54.11166	7.3985314	6.0958838	4	4	0	1	2	6.9441323	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
7	185	2003	27.131279	100	0	13.023338	15.572773	69.929924	4.4705791	12.8218	2.471314	121.71088	50.849819	52.86512	6.7880359	7.7360158	4	4	0	1	2.5999999	6.4616265	100	.40000001	13.023338	15.443981	70.722977	4.3155065	13.5548	2.8202529	108.25986	48.242821	57.503021	7.1709127	9.7906876	4	4	0	1	2	6.6868186	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
2	188	1978	10.031141	92.030273	6	12.605419	17.60788	82.427162	5.9916401	36.712601	2.7739584	41.961311	56.945316	21.397261	6.7580681	10.999712	-9	1	1	1	5	6.3615928	100	4.8000002	12.605594	17.472935	86.862915	5.9131784	34.527599	2.6352324	39.992485	57.357307	14.67438	6.1109247	15.939554	-6.8000002	2	1	1	4.75	5.7001314	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
3	188	1983	8.6208134	86.415977	6	12.605419	17.750376	78.516022	5.8398314	40.82	2.8208992	43.030277	56.018131	40.489262	6.7635622	21.119024	-6.5999999	2.4000001	1	1	4.5999999	6.5881066	92.030273	6	12.605419	17.60788	82.427162	5.9916401	36.712601	2.7739584	41.961311	56.945316	21.397261	6.7580681	10.999712	-9	1	1	1	5	6.3615928	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
4	188	1988	13.842512	92.062759	6	12.605419	17.888994	75.178802	5.6552935	46.372398	2.8052876	49.02293	56.070614	67.589142	7.3897629	8.4204903	6.5999999	7	1	1	2.5999999	6.5558629	86.415977	6	12.605419	17.750376	78.516022	5.8398314	40.82	2.8208992	43.030277	56.018131	40.489262	6.7635622	21.119024	-6.5999999	2.4000001	1	1	4.5999999	6.5881066	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
