period	cc	year	CG_7_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp_pc	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp_pc	per01	per02	per03	per04	per05	per06	per07	per08	cc6	cc10	cc13	cc14	cc18	cc21	cc24	cc27	cc32	cc34	cc42	cc44	cc45	cc51	cc56	cc59	cc63	cc68	cc71	cc74	cc75	cc79	cc82	cc83	cc84	cc93	cc94	cc96	cc101	cc113	cc114	cc116	cc118	cc119	cc121	cc123	cc125	cc136	cc137	cc143	cc144	cc145	cc152	cc154	cc158	cc161	cc164	cc167	cc171	cc174	cc178	cc180	cc183	cc185	cc186	cc188	cc191	cc217	cc219	cc220	cc225	cc227	cc228	cc233	cc234	cc240	cc246	cc247	cc248	cc252	cc256	cc257	cc258	cc262	cc274	cc276
7	21	2003	42.83931	85.217979	0	10.318243	16.118095	25.735348	26.086	97.222397	0	148.50986	39.566898	99.019142	12.720386	2.110522	10	10	0	0	1	10.284338	87.684944	0	10.318243	16.118095	26.162348	25.061308	96.981598	0	137.72638	46.879303	117.8408	11.975632	1.0812594	10	10	0	0	1	10.126507	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	21	2008	42.600281	84.174591	0	10.318243	16.194344	25.618084	26.30629	97.390404	2	157.66937	37.969681	90.986038	13.623202	2.019598	8.3999996	7.5999999	0	0	1	10.680591	85.217979	0	10.318243	16.118095	25.735348	26.086	97.222397	0	148.50986	39.566898	99.019142	12.720386	2.110522	10	10	0	0	1	10.284338	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	24	2008	21.260931	100	0	11.633017	15.938205	83.204903	5.6911502	42.956001	2.9883642	44.400684	36.366428	25.651924	7.3964434	3.3367319	7	9	1	0	2	6.5679984	100	0	11.633017	15.782978	86.620316	5.7293682	39.935001	3.5149057	51.446087	37.093201	53.848042	6.7247791	2.290904	6	9	1	0	2.4000001	6.156353	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	27	1988	12.403177	86.119537	0	13.910821	15.668119	75.009666	6.6958346	53.553799	2.537921	45.874344	50.95628	122.223	5.3537502	58.333359	9	9	1	1	2	6.6158094	62.853107	0	13.910821	15.559031	77.480988	6.7145176	48.491798	2.132103	52.190163	52.276974	161.224	5.2809987	2847.0134	5.1999998	6.1999998	1	1	4	7.045711	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	27	1993	21.077202	81.199165	0	13.910821	15.780651	73.626884	6.9852476	57.8708	2.2519417	48.723969	51.885841	87.650703	6.2011538	11.365054	9	9	1	1	2	6.711719	86.119537	0	13.910821	15.668119	75.009666	6.6958346	53.553799	2.537921	45.874344	50.95628	122.223	5.3537502	58.333359	9	9	1	1	2	6.6158094	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	27	1998	22.809406	74.666931	0	13.910821	15.889477	71.895103	7.3285933	60.860401	2.2649665	48.474628	56.60281	64.085899	8.0079565	6.3886681	9	9	1	1	1.2	6.9229569	81.199165	0	13.910821	15.780651	73.626884	6.9852476	57.8708	2.2519417	48.723969	51.885841	87.650703	6.2011538	11.365054	9	9	1	1	2	6.711719	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	27	2003	29.389219	85.772705	0	13.910821	15.989926	68.520531	7.5950732	63.247002	2.0342457	54.330425	55.653168	65.834358	8.5844431	4.9858699	8.3999996	7.8000002	1	1	2.4000001	6.8682756	74.666931	0	13.910821	15.889477	71.895103	7.3285933	60.860401	2.2649665	48.474628	56.60281	64.085899	8.0079565	6.3886681	9	9	1	1	1.2	6.9229569	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	27	2008	25.777742	74.675201	0	13.910821	16.079107	63.271107	7.8112149	65.514999	1.2481674	75.521057	55.35965	42.326	8.6909609	7.5551739	7.5999999	7	1	1	3	7.3757901	85.772705	0	13.910821	15.989926	68.520531	7.5950732	63.247002	2.0342457	54.330425	55.653168	65.834358	8.5844431	4.9858699	8.3999996	7.8000002	1	1	2.4000001	6.8682756	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	32	1988	29.125113	98.558182	0	13.247639	14.076688	87.803123	4.9150772	35.8494	3.2051282	113.4049	56.008572	25.62138	7.0684676	13.880244	6.8000002	9	0	1	1.6	7.3527093	100	0	13.247639	13.909161	90.896919	4.7387362	22.625999	3.8676238	122.84258	55.236347	26.991039	6.4890342	10.134658	6	9	0	1	2	6.7115655	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	32	1993	36.635555	99.315414	0	13.247639	14.220085	79.058296	4.9555912	46.1618	2.7619047	91.922218	56.978889	19.813841	7.0989738	8.3001575	7	9	0	1	1.6	7.9317527	98.558182	0	13.247639	14.076688	87.803123	4.9150772	35.8494	3.2051282	113.4049	56.008572	25.62138	7.0684676	13.880244	6.8000002	9	0	1	1.6	7.3527093	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
