period	cc	year	GG_7_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp_pc	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp_pc	per01	per02	per03	per04	per05	per06	per07	per08	cc1	cc2	cc3	cc4	cc5	cc6	cc7	cc8	cc9	cc10	cc11	cc12	cc13	cc14	cc15	cc16	cc17	cc18	cc19	cc20	cc21	cc22	cc23	cc24	cc25	cc26	cc27	cc28	cc29	cc30	cc31	cc32	cc33	cc34	cc35	cc36	cc37	cc38	cc39	cc40	cc41	cc42	cc43	cc44	cc45	cc46	cc47	cc48	cc49	cc50	cc51	cc52	cc53	cc54	cc55	cc56	cc57	cc58	cc59	cc60	cc61	cc62	cc63	cc64	cc65	cc66	cc67	cc68	cc69	cc70	cc71	cc72	cc73	cc74	cc75	cc76	cc77	cc78	cc79	cc80	cc81	cc82	cc83	cc84	cc85	cc86	cc87	cc88	cc89	cc90	cc91
2	96	1978	20.970093	.62856954	-.38521606	.29598293	.47754949	-1.0374446	1.6515415	.23224401	-.29903632	-.70238477	-.089939266	-.6508283	.16087031	-.082928531	.99983197	1.2787111	-1.136256	.68546009	-.93326843	.46888801	.62856954	-.38521606	.29598293	.45702454	-.96717989	1.4068046	.12880623	-.7805748	-.83630407	.20309001	-.62670666	-.17251302	-.095349543	-.43225449	-.58712578	-1.136256	.68546009	.18498319	.046251163	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	96	1983	31.262253	.62856954	-.38521606	.29598293	.4963688	-1.1420933	1.7220083	.28822902	-.68598688	-.58141226	-.15533802	-.43705049	.34112185	-.064824678	.99983197	1.2787111	-1.136256	.68546009	-1.2071259	.53267896	.62856954	-.38521606	.29598293	.47754949	-1.0374446	1.6515415	.23224401	-.29903632	-.70238477	-.089939266	-.6508283	.16087031	-.082928531	.99983197	1.2787111	-1.136256	.68546009	-.93326843	.46888801	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	96	1988	38.17123	.62856954	-.38521606	.29598293	.5038144	-1.2916303	1.6851767	.30925858	-.92248988	-.60675317	-.28819436	-.056363028	.57042903	-.081161201	1.2752331	1.2787111	-1.136256	.68546009	-1.0245543	.75633264	.62856954	-.38521606	.29598293	.4963688	-1.1420933	1.7220083	.28822902	-.68598688	-.58141226	-.15533802	-.43705049	.34112185	-.064824678	.99983197	1.2787111	-1.136256	.68546009	-1.2071259	.53267896	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	96	1993	32.085907	.60440099	-.38521606	.29598293	.51941752	-1.4618014	1.9058803	.32640326	.098267868	-.6820693	-.14398138	.4898966	.73818308	-.091893919	1.2752331	1.2787111	-1.136256	.68546009	-1.2984117	1.0142055	.62856954	-.38521606	.29598293	.5038144	-1.2916303	1.6851767	.30925858	-.92248988	-.60675317	-.28819436	-.056363028	.57042903	-.081161201	1.2752331	1.2787111	-1.136256	.68546009	-1.0245543	.75633264	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	96	1998	44.999409	.48873204	-.38521606	.29598293	.54282224	-1.5895047	2.2870376	.34434247	-1.0371817	-.54368258	-.021886887	.65629816	.81748456	-.12154748	1.2752331	1.2787111	-1.136256	.68546009	-1.2984117	1.1104207	.60440099	-.38521606	.29598293	.51941752	-1.4618014	1.9058803	.32640326	.098267868	-.6820693	-.14398138	.4898966	.73818308	-.091893919	1.2752331	1.2787111	-1.136256	.68546009	-1.2984117	1.0142055	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	96	2003	45.183079	.47139004	-.38521606	.29598293	.54282224	-1.6533767	2.7047973	.36551639	-1.0371817	-.47706464	-.029994631	.6519435	.94769073	-.12794155	1.2752331	1.2787111	-1.136256	.68546009	-1.2984117	1.2852044	.48873204	-.38521606	.29598293	.54282224	-1.5895047	2.2870376	.34434247	-1.0371817	-.54368258	-.021886887	.65629816	.81748456	-.12154748	1.2752331	1.2787111	-1.136256	.68546009	-1.2984117	1.1104207	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	96	2008	48.114914	.45342281	-.38521606	.29598293	.54282224	-1.6577423	2.9074538	.39657101	-1.0371817	-.49712417	-.78274739	.95534474	1.1457676	-.12948185	1.2752331	1.2787111	-1.136256	.68546009	-1.2984117	1.5957561	.47139004	-.38521606	.29598293	.54282224	-1.6533767	2.7047973	.36551639	-1.0371817	-.47706464	-.029994631	.6519435	.94769073	-.12794155	1.2752331	1.2787111	-1.136256	.68546009	-1.2984117	1.2852044	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	101	1978	10.86622	.47163698	2.6425331	.23447943	.3396728	1.0618856	-.72032917	-.5557757	.35930124	-.24254273	-.36253414	-.81793338	-.19311897	-.10392501	-.68011558	-.32452655	.9070856	.68546009	.070875891	-.59079558	.62856954	2.6425331	.23447943	.28898683	.99663651	-.756293	-.59105229	.5554496	-.4188346	.60637373	-.83544266	-.4308635	-.11154649	-.18439338	.17302999	.9070856	.68546009	-.38555333	-1.0289116	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	101	1983	10.725756	.4702943	2.6425331	.23447943	.39121121	1.1436082	-.67121124	-.50264817	.35378277	-.61724782	.42490408	-.41490293	-.038608823	-.10998711	-.8178162	-1.0017562	.9070856	.68546009	.70987684	-.39238188	.47163698	2.6425331	.23447943	.3396728	1.0618856	-.72032917	-.5557757	.35930124	-.24254273	-.36253414	-.81793338	-.19311897	-.10392501	-.68011558	-.32452655	.9070856	.68546009	.070875891	-.59079558	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	101	1988	11.729915	.48155287	2.6425331	.23447943	.43707332	1.1478524	-.60829002	-.42722288	.33242166	-.51079708	1.2885922	-.19741669	-.048029594	-.063366942	.31132886	.44945028	.9070856	.68546009	-.38555333	-.57346678	.4702943	2.6425331	.23447943	.39121121	1.1436082	-.67121124	-.50264817	.35378277	-.61724782	.42490408	-.41490293	-.038608823	-.10998711	-.8178162	-1.0017562	.9070856	.68546009	.70987684	-.39238188	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
