period	cc	year	CG_7_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp_pc	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp_pc	per01	per02	per03	per04	cc3	cc10	cc13	cc14	cc27	cc32	cc34	cc44	cc45	cc51	cc56	cc59	cc63	cc68	cc71	cc73	cc74	cc75	cc79	cc82	cc83	cc84	cc93	cc96	cc101	cc112	cc113	cc114	cc116	cc118	cc119	cc121	cc122	cc123	cc125	cc136	cc143	cc144	cc145	cc152	cc154	cc158	cc161	cc164	cc166	cc167	cc171	cc172	cc174	cc178	cc180	cc183	cc186	cc187	cc188	cc191	cc217	cc219	cc220	cc225	cc227	cc228	cc233	cc234	cc240	cc246	cc247	cc248	cc256	cc257	cc258	cc262	cc274
3	32	1995.5	36.430965	99.429512	0	13.247639	14.282765	73.672066	4.9966469	48.8428	2.5941877	93.275642	56.24387	18.016741	7.1437778	10.096412	7.4000001	9	0	1	1.8	7.9978309	99.279091	0	13.247639	13.992925	89.350021	4.8269067	29.2377	3.536376	118.12374	55.665359	26.30621	6.7787509	12.007451	6.4000001	9	0	1	1.8	7.0321374	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	32	2005.5	41.977501	100	0	13.247639	14.456532	56.415325	5.7767282	57.596901	1.0818714	79.856895	54.475708	9.0744066	7.0076981	8.1806707	8	9	0	1	2.2	8.5719395	99.429512	0	13.247639	14.282765	73.672066	4.9966469	48.8428	2.5941877	93.275642	56.24387	18.016741	7.1437778	10.096412	7.4000001	9	0	1	1.8	7.9978309	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	34	1995.5	26.979647	60.627029	0	15.955577	18.902027	51.154259	8.0409536	77.946999	1.2916666	17.882786	57.141117	59.893082	10.980749	577.26123	8	9	1	1	2.5	8.1670818	70.759712	0	15.955577	18.733305	61.853195	7.0849371	70.201202	2.3168497	16.770071	56.957867	55.625992	9.9533367	574.185	3.2	6.1999998	.5	1	2.7	7.468225	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	34	2005.5	27.824051	95.33316	0	15.955577	19.040907	41.138176	9.5364208	82.955902	1.6701066	25.811357	53.240494	70.089218	12.298018	8.4262304	8	9	1	1	2.0999999	8.5620136	60.627029	0	15.955577	18.902027	51.154259	8.0409536	77.946999	1.2916666	17.882786	57.141117	59.893082	10.980749	577.26123	8	9	1	1	2.5	8.1670818	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	44	1995.5	15.287929	100	0	13.066237	16.466387	84.37854	6.7365422	42.880501	2.9835165	39.580318	45.805176	86.539238	7.1313462	5.7138138	-4.4000001	5.5	1	1	6.5999999	6.5460825	100	0	13.066237	16.182446	88.071678	7.0185909	36.397301	3.0921276	43.571316	48.187836	30.72279	6.9883189	5.7209435	-7.9000001	1	1	1	6	6.8017907	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	45	1985.5	23.431284	46.005665	0	16.023785	17.080574	31.21368	15.212494	76.284203	1.1549858	51.895844	38.733685	64.751541	11.25986	5.2487612	10	10	0	1	1	9.6282244	83.678566	0	16.023785	16.963221	39.598518	13.131587	75.635201	1.7821852	47.292931	36.93055	49.91481	10.572935	8.9265537	10	10	0	1	1	8.9039297	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	45	1995.5	22.823736	47.930496	0	16.023785	17.196018	29.632559	17.720957	77.997299	1.0353038	70.283455	41.265842	93.515518	12.300088	1.839352	10	10	0	1	1	9.9459219	46.005665	0	16.023785	17.080574	31.21368	15.212494	76.284203	1.1549858	51.895844	38.733685	64.751541	11.25986	5.2487612	10	10	0	1	1	9.6282244	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	45	2005.5	18.156498	44.878059	0	16.023785	17.296253	25.331217	19.140354	80.122803	.93811095	70.332413	43.027756	75.912613	13.289908	2.301652	10	10	0	1	1	10.443967	47.930496	0	16.023785	17.196018	29.632559	17.720957	77.997299	1.0353038	70.283455	41.265842	93.515518	12.300088	1.839352	10	10	0	1	1	9.9459219	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	51	1985.5	23.363226	94.145905	0	13.519167	16.323732	48.891033	9.3550711	82.541901	1.7424242	50.372723	52.331608	99.25251	8.5877113	20.213791	-2.9000001	3.8	1	1	5.3000002	7.6413045	97.401161	.89999998	13.519167	16.162725	62.559914	9.3408937	78.611298	1.4113842	38.687611	52.868328	64.165176	8.1574097	200.6396	-4.4000001	2.2	1	1	6	7.276072	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	51	1995.5	19.578569	92.712082	0	13.519167	16.481653	45.636158	10.48942	84.624001	1.4835165	55.076778	52.196457	37.035332	10.049909	9.2863512	8.1000004	9	1	1	2.0999999	8.4058666	94.145905	0	13.519167	16.323732	48.891033	9.3550711	82.541901	1.7424242	50.372723	52.331608	99.25251	8.5877113	20.213791	-2.9000001	3.8	1	1	5.3000002	7.6413045	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
